SiteID;Longitude;Latitude
400017;582469;4077168
400018;554906;4093523
400019;600117;4123544
400020;567724;4070872
400021;534628;4068449
400022;498737;4066906
400023;569784;4127865
400024;540214;4119384
400025;553221;4076074
400026;603558;4109063
400027;516668;4069669
400028;576008;4138836
400029;564699;4161410
400030;598238;4095475
400031;536983;4074017
400032;579206;4069571
400033;504712;4077643
400034;518567;4062498
400035;541954;4075759
400036;600259;4127858
400037;511859;4076742
400038;605115;4115960
400039;513114;4113203
400040;593353;4138807
400041;597167;4116301
400042;570649;4090998
400043;561410;4132337
400044;528552;4067817
400045;555214;4077124
400046;506041;4068287
400047;583995;4104816
400048;569256;4081229
400049;582646;4093618
400050;594243;4127292
400051;492390;4066908
400052;591689;4132943
400053;548917;4076117
400054;537779;4073780
400055;533970;4065295
400056;547813;4076652
400057;513826;4069297
400058;561268;4076669
400060;602546;4110761
400061;547793;4077266
400062;572462;4138135
400064;534499;4076899
400065;549239;4078073
400066;552124;4077326
400067;547388;4099277
400068;542356;4106753
400069;547624;4093662
400070;533735;4107379
400071;523564;4109802
400072;547963;4087403
400073;527144;4072249
400075;609841;4140767
400076;599524;4113324
400077;604244;4113134
400078;596987;4089349
400079;580087;4068978
400080;510545;4065611
400081;535088;4068128
400083;498003;4066907
400085;567414;4135577
400086;554088;4100819
400087;542860;4132953
400088;551430;4083029
400089;578038;4104907
400090;551465;4079373
400091;597026;4122778
400092;544908;4089828
400093;548513;4076900
400096;585372;4132594
400097;509788;4094520
400098;587176;4165440
400099;548055;4077885
400100;556652;4134419
400101;580457;4133618
400102;582262;4134503
400104;562560;4132148
400105;581437;4147714
400106;570555;4115980
400108;594404;4088787
400110;559364;4081431
400111;536762;4073771
400112;541710;4075123
400113;609140;4129990
400114;514039;4061864
400115;531629;4093854
400116;520621;4092878
400117;526184;4094366
400118;605296;4118921
400119;548803;4077694
400121;503802;4091872
400122;572971;4128011
400123;536031;4132220
400124;602343;4106693
400125;534115;4066447
400126;517517;4069966
400128;535409;4139247
400129;563930;4118636
400130;500841;4068235
400131;545244;4076523
400132;555829;4081591
400134;550636;4139208
400135;571242;4134586
400136;531742;4073084
400138;500358;4071789
400139;576086;4134294
400141;604196;4112842
400142;567590;4190563
400144;603917;4115122
400145;533286;4064227
400148;580613;4170798
400149;530764;4074582
400150;534978;4081793
400151;570528;4100467
400152;533913;4098947
400153;547371;4079426
400154;562409;4148766
400155;496615;4067459
400157;600189;4122886
400158;520138;4070533
400159;609424;4123962
400160;547490;4077970
400161;538705;4074550
400162;522446;4070450
400165;516097;4069607
400168;546954;4077188
400170;549439;4075689
400171;548198;4077560
400172;549649;4081283
400173;549177;4079666
400175;558228;4079207
400176;600178;4141584
400177;607737;4133815
400178;534304;4074014
400181;593026;4093167
400183;567330;4117991
400184;527481;4110740
400195;517738;4109209
400200;538822;4074876
400202;571838;4089707
400203;585404;4101138
400204;599889;4148793
400205;532684;4072103
400207;577075;4089213
400208;517336;4067230
400212;530354;4079809
400213;570258;4066855
400215;550114;4077549
400216;550354;4075107
400217;593544;4138364
400219;561492;4078662
400220;599420;4128419
400221;503959;4076325
400222;531993;4068460
400224;602451;4109170
400225;574646;4074498
400228;535861;4073753
400229;534838;4070146
400230;534121;4069773
400236;557164;4146327
400237;562921;4134042
400238;538327;4074039
400240;614998;4131092
400244;527588;4062716
400246;550281;4135000
400247;618756;4136330
400249;535008;4071089
400250;533224;4108171
400251;516742;4069933
